round,Cluster,X1,X2,Label,GT_Label
,0,6.879772390991729,3.2698291786157028,,1.0
,0,6.680339242212702,3.25045727291421,2.0,2.0
,0,6.676884552851102,3.174954394221999,,2.0
,1,5.451302657779417,4.1381140437060475,,0.0
,1,5.83062050910335,3.9423154016502266,,0.0
,1,6.015085996620323,4.119192570606879,,0.0
,1,5.6614220414588585,4.399802942215923,,0.0
,1,5.673473918687206,4.352614664326404,,0.0
,1,5.240855788730845,4.240258611694017,,0.0
,1,5.705628572449974,4.545766353433657,,0.0
,1,5.585511074875683,4.6095259080490765,,0.0
,1,5.765541294663921,4.3888370300601816,,0.0
,1,5.451970460195733,4.162301016190871,,0.0
,1,5.508335435537091,4.51204768527715,,0.0
,1,5.8387272837777555,3.889080511979221,,0.0
,1,5.618277154248378,4.455295824409343,,0.0
,1,5.671759720441556,4.4177781505476,0.0,0.0
,1,5.596643006493665,4.002338360331769,,0.0
,1,5.702190273453057,3.938783648218663,,0.0
,1,5.771898768990574,3.867187130452741,,0.0
,1,5.502706240662892,4.142014829939945,,0.0
,1,5.090775976192275,4.2619319918304015,,0.0
,2,7.591417535605025,2.909396070188465,,2.0
,2,7.749051691217933,2.3845818617644157,,2.0
,2,7.604646324396591,2.857301539331047,,2.0
,2,7.449482386748326,2.84856443662226,,2.0
,2,7.862977941672783,2.7828809169048077,,2.0
,2,7.486041075180466,2.776414366935006,2.0,2.0
,2,7.726676804789371,2.549496681241679,,2.0
,2,7.665319975370096,3.114309477754608,,2.0
,2,7.618904711844612,3.071781734620973,2.0,2.0
,2,7.652568688754724,2.586620007672256,,2.0
,2,7.656927186147926,3.064891531559426,,2.0
,2,7.398848714999474,2.6527199393866563,,2.0
,2,7.298213713274742,2.7785906704575627,,2.0
,2,7.602943135149,2.888449538481041,2.0,2.0
,2,7.726361223585016,2.8345353822005808,,2.0
,2,7.536802024768298,2.9799491947383547,,2.0
,2,7.706465041873674,3.0524913622156684,,2.0
,2,7.178424197935099,3.006307926840619,2.0,2.0
,2,7.638035758610542,3.065086920611617,,2.0
,2,7.695169694307221,2.505067417980612,2.0,2.0
,2,7.136038760369467,2.9912263765109857,,2.0
,2,7.871245549349468,2.877517899574592,,2.0
,2,7.7428172585039245,2.8689725913466364,2.0,2.0
,2,7.737345958988395,3.0452059456640597,,2.0
,2,7.769176772816998,2.7812647679340974,,2.0
,2,7.532906117242391,2.8749751045665,,2.0
,2,7.637128357437825,3.060241450865893,2.0,2.0
,2,7.680399732997023,2.628123756748988,,2.0
,2,7.593800167987392,2.787428094970177,,2.0
,2,7.7479571176488085,2.4375487463610876,2.0,2.0
,3,7.39278502105479,3.5315662570139104,,2.0
,3,7.294397039466346,3.262226013477793,,2.0
,3,7.007940890865928,3.2364757161146978,,1.0
,3,7.022798143572681,3.170218544998394,,2.0
,4,4.4705746197867375,2.255744306172247,0.0,0.0
,4,4.931906206256606,2.4098642070969456,,
,4,4.876665868972747,2.4682864494334185,,2.0
,4,4.93716425746483,2.4857296121478027,,2.0
,4,4.9752749128609555,2.472832076696313,,2.0
,4,5.065109473939387,2.3257605275115005,,1.0
,4,4.947907363916495,2.1575552066197843,,1.0
,4,4.991893969956521,2.548491780583834,,2.0
,4,4.930967152796881,2.2443663939499405,,1.0
,4,4.813769740603403,2.5629505575226115,,2.0
,4,4.366938340480036,2.286400390213355,,0.0
,4,5.174395594779719,2.4437033138164024,,1.0
,4,4.788746557383786,2.473476552533826,,1.0
,4,4.990252424875987,2.4183981906042917,,1.0
,4,5.096784932858069,2.6712731202095013,,1.0
,4,4.931224480507719,2.507055020567246,,1.0
,4,4.547227012411799,2.2550762887372433,,0.0
,4,5.000705285231339,2.3952164748889864,,1.0
,4,4.90532682883628,2.3753546013539655,,2.0
,4,4.330084761937786,2.238177781166119,,0.0
,4,4.248243897269729,2.862943409841186,,0.0
,4,4.875881298945165,2.3741447095362975,,1.0
,4,4.747518965153651,2.2616958916681686,1.0,1.0
,4,5.225620061019624,2.158125889025389,,1.0
,4,4.422866932981678,2.2601192456155763,,0.0
,4,5.067281224647633,2.4463873860681455,,1.0
,4,4.896552383481807,2.135605596707663,,1.0
,4,4.995274935455866,1.9842697525399997,,1.0
,4,5.0038733490527525,2.598248180194632,,2.0
,4,4.906879073926078,2.36085695547826,,1.0
,4,5.148941314544289,2.738067697785255,,1.0
,4,5.160437998998634,2.7524733791883746,,1.0
,4,4.466079290634002,2.300013813173675,,0.0
,4,4.991039721106959,2.428179744393988,,1.0
,4,5.008326053141773,1.9794689751856933,,1.0
,4,5.028274378599935,2.205530585361605,,1.0
,4,5.195901912451866,2.688706082056286,,1.0
,4,4.856269941804163,2.3819570604891647,,2.0
,4,4.901264925309471,2.3196789973164798,,2.0
,4,5.230658535374495,2.502976443962586,,1.0
,4,5.109026345065227,2.6952481931613144,,1.0
,4,4.740585320126881,2.5965604482528333,,2.0
,4,4.806419694434383,2.4960999584688692,,2.0
,4,4.857730789141915,2.389198516296607,,1.0
,4,5.106336171960344,2.816460664122399,,1.0
,4,4.870029066442598,2.5013776219067916,,1.0
,4,5.0502138133350805,2.3749984668939668,1.0,1.0
,4,5.145578629321947,2.682783024545841,,1.0
,4,5.242246467574251,1.77788055681713,,1.0
,4,5.417466282741107,2.272696167683687,,1.0
,4,5.248357248509705,2.3579603940616587,,1.0
,4,5.032041431675113,1.9486025998504848,,1.0
,4,4.929351275166468,2.101381311679216,,1.0
,4,4.9768097910761835,2.0323236553001185,,1.0
,4,5.421700053882405,2.3481727348233226,1.0,1.0
,4,4.853153019314034,2.5543251314368995,,2.0
,5,8.091097997319482,3.7419495721530134,,2.0
,5,7.66048445401839,3.8596953744987843,2.0,2.0
,5,7.899686564020138,3.8851918398590173,2.0,2.0
,5,7.734548726893505,3.894960957937527,,
,5,7.734548726893505,3.894960957937527,,2.0
,5,7.767825251918096,3.9386914657697756,,2.0
,5,7.955889874724352,3.739592576978356,,2.0
,6,5.5955252269729066,2.618078485184281,,
,6,5.370455944698637,2.633376610584731,1.0,1.0
,6,5.6631820282722245,2.68325121952126,,2.0
,6,5.4078123367035476,2.94005844619897,,1.0
,6,5.698899534478981,2.9053135405524126,,1.0
,6,5.739424662104048,2.579450953162833,1.0,1.0
,6,5.447986938960614,2.2668377621150104,,1.0
,6,5.479469954224539,2.4904919939883503,,1.0
,6,5.756758179575066,2.927291985529568,,1.0
,6,5.652153671343134,2.619466550554323,,1.0
,6,5.520887693266963,2.526156544763988,,1.0
,6,5.691562159242055,2.7236839074492467,,1.0
,6,5.755287598543886,2.566547008609988,,1.0
,6,5.4606992510332315,2.2110465955012106,,1.0
,6,5.885456996688304,2.600536360725914,,2.0
,6,5.483983031323081,2.3774631987861623,,1.0
,6,5.5143836511081865,2.838283084904529,,1.0
,6,5.191598236614904,2.7300115107576706,,1.0
,6,5.4685258113780355,2.966804793970356,,1.0
,6,5.631822816540428,2.5286116822812503,,2.0
,6,5.642671863668786,3.1146604929240302,,1.0
,6,5.598365723834102,2.2657262789423074,,1.0
,6,5.8338497692819455,2.687975866985587,,2.0
,6,5.639909100925854,2.4476761306268453,,2.0
,6,5.713520961683603,2.8217899715096237,,2.0
,6,5.837310377129586,2.9423560079323186,,1.0
,6,5.6951341068679415,2.699632929232127,,2.0
,6,5.824479634360239,2.934470780879524,,1.0
,6,5.4402434079715976,2.568242608975607,,1.0
,6,5.744207059325863,2.562460074060677,,1.0
,6,5.64375440230031,2.4944233322505744,,1.0
,6,5.35515243007704,3.0100495396958578,,1.0
,6,5.573793950388588,3.0089512904022913,,1.0
,6,5.915075249619017,2.998791247761027,,2.0
,6,5.3591157927774375,2.414717660621202,1.0,1.0
,6,5.584586323663647,2.998320857009914,,1.0
,6,6.0543403997152225,2.221637749575948,,
,6,6.009227950870486,2.145075048320765,,1.0
,6,6.131998338960545,2.3760180972036946,,1.0
,6,6.1367719419143825,2.223545364139394,1.0,1.0
,6,5.939363367115476,2.1419124886399383,2.0,2.0
,6,6.223228917115279,2.1875766853527367,,1.0
,6,6.2025695196001775,2.3937335836672213,,1.0
,6,6.147057293783448,2.6224074390367855,,2.0
,6,6.33823006473168,2.4901624759307244,,2.0
,6,5.859727806297962,2.639774748430572,,1.0
,6,5.8447642681405165,2.780970240072119,,2.0
,6,5.987152653455336,3.0063012711994586,1.0,1.0
,6,5.989975423366705,2.9714737755841467,2.0,2.0
,6,5.608684827926779,2.2805400112010474,,1.0
,6,5.736428043833211,2.7731688786534283,,1.0
,6,5.945132462795731,3.0861849284504776,,2.0
,6,5.457401684197228,2.3711599089021296,,1.0
,6,5.717241237985893,3.051390988495748,,1.0
,6,6.067465031193949,2.3099660089096683,,2.0
,6,5.889415457127825,3.1088476480495926,,2.0
,6,5.832994577013901,2.659063622045212,,1.0
,6,5.507554205449275,2.430743091464358,,1.0
,6,5.627777978873447,2.8413308494483704,,1.0
,6,5.591510131311834,2.4226732828322515,1.0,1.0
,6,5.859008961405387,2.7851913618338915,,1.0
,6,5.827888647566437,2.889556369644951,,1.0
,6,6.204891598271491,2.395655661148119,,1.0
,6,5.646774133358839,2.731845614090479,,1.0
,6,5.5351295004869066,3.120944118784204,,1.0
,6,5.805974898204522,2.6931405244645177,,1.0
